,id,belongs_to_collection,budget,revenue,runtime
0,419704,False,87500000,127175922,123.0
1,335988,True,217000000,605425157,149.0
2,290859,True,185000000,233685077,128.0
3,299536,True,300000000,2046239637,149.0
4,429617,True,160000000,1131450163,129.0
5,157336,False,165000000,675120017,169.0
6,27205,False,160000000,825532764,148.0
7,118340,True,170000000,772776600,121.0
8,87101,True,155000000,440603537,126.0
9,131631,True,125000000,752100229,123.0
10,399579,False,170000000,404852543,122.0
11,324857,True,90000000,375450417,117.0
12,299534,True,356000000,2797800564,181.0
13,335984,True,150000000,259239658,163.0
14,284054,True,200000000,1346739107,134.0
15,166424,False,120000000,167977596,100.0
16,280,True,102000000,520000000,137.0
17,218,True,6400000,78371200,108.0
18,24428,True,220000000,1519557910,143.0
19,18,False,90000000,263920180,126.0
20,607,True,90000000,589390539,98.0
21,299537,True,152000000,1128274794,124.0
22,126889,True,97000000,232380243,122.0
23,19995,True,237000000,2787965087,162.0
24,78,True,28000000,32868943,117.0
25,141052,True,300000000,657924295,120.0
26,2048,False,120000000,347234916,115.0
27,315635,True,175000000,880166924,133.0
28,320288,True,200000000,245000000,114.0
29,348350,True,250000000,392952373,135.0
30,76757,False,176000003,183987723,124.0
31,198663,True,34000000,348319861,113.0
32,99861,True,280000000,1405403694,141.0
33,286217,False,108000000,630161890,141.0
34,373571,True,170000000,385900138,132.0
35,271110,True,240000000,1153304495,147.0
36,782,False,36000000,12532777,106.0
37,135397,True,150000000,1671713208,124.0
38,608,True,140000000,441818803,88.0
39,443791,False,50000000,33617430,95.0
40,603,True,63000000,463517383,136.0
41,158852,False,190000000,209154322,130.0
42,49849,False,163000000,174822325,119.0
43,840,False,20000000,303788635,135.0
44,450465,False,20000000,246941965,129.0
45,76341,True,150000000,378858340,121.0
46,39538,False,60000000,137551594,106.0
47,333339,False,175000000,582890172,140.0
48,284052,True,165000000,677700000,115.0
49,263115,True,97000000,619021436,137.0
50,351286,True,170000000,1303459585,129.0
51,1726,True,140000000,585174222,126.0
52,119450,True,170000000,710644566,130.0
53,98566,True,125000000,477200000,101.0
54,240832,False,40000000,126546825,89.0
55,10138,True,200000000,623933331,124.0
56,363088,True,140000000,622674139,119.0
57,348,True,11000000,104931801,117.0
58,283995,True,200000000,863756051,137.0
59,102899,True,130000000,519311965,117.0
60,238615,False,26000000,30523226,116.0
61,105,True,19000000,381109762,116.0
62,127585,True,250000000,747862775,131.0
63,62,True,12000000,68700000,149.0
64,335983,True,116000000,855013954,112.0
65,91314,True,210000000,1091405097,165.0
66,70981,True,130000000,403170142,124.0
67,339964,False,177200000,225874228,136.0
68,257344,False,88000000,243637091,105.0
69,49521,True,225000000,668045518,143.0
70,68721,True,200000000,1215439994,131.0
71,49047,False,105000000,716392705,91.0
72,198184,False,49000000,104399548,120.0
73,345940,False,150000000,315960074,113.0
74,137113,True,178000000,370541256,113.0
75,644,False,100000000,235926552,146.0
76,427641,False,120000000,426245950,107.0
77,264660,False,15000000,36869414,108.0
78,679,True,18500000,183316455,137.0
79,534,True,200000000,371353001,115.0
80,329865,False,47000000,203388186,116.0
81,315837,False,110000000,169801921,107.0
82,63,False,29500000,168840000,129.0
83,75612,False,120000000,286168572,124.0
84,296,True,200000000,435000000,109.0
85,49530,False,40000000,173930596,109.0
86,447332,True,17000000,340677200,91.0
87,424783,True,135000000,465895025,114.0
88,926,False,45000000,90683916,102.0
89,152601,False,23000000,47351251,126.0
90,1893,True,115000000,924317558,136.0
91,106,True,15000000,98267558,107.0
92,72190,False,200000000,531865000,116.0
93,64635,False,125000000,198802074,121.0
94,456740,True,50000000,44664690,121.0
95,438799,False,38000000,41657844,110.0
96,97020,False,120000000,242688965,102.0
97,861,False,65000000,261317921,113.0
98,601,False,10500000,792965326,115.0
99,246655,True,178000000,543934787,144.0
100,300668,False,40000000,43070915,115.0
101,274855,False,120000000,221600160,109.0
102,157350,True,0,288747895,139.0
103,11549,False,417000,0,80.0
104,6479,False,150000000,585349010,101.0
105,294254,True,61000000,312296056,132.0
106,185,False,2200000,26589000,136.0
107,828,False,1200000,0,92.0
108,39254,False,110000000,299268508,127.0
109,68724,False,115000000,286140700,109.0
110,1635,False,126000000,162949164,136.0
111,353491,False,60000000,113231078,95.0
112,188927,True,185000000,343471816,122.0
113,131634,True,160000000,653428261,137.0
114,5548,True,13000000,53000000,102.0
115,330459,True,200000000,1056057273,133.0
116,9016,False,140000000,109578115,95.0
117,44833,False,209000000,303025485,131.0
118,1924,True,55000000,300218018,143.0
119,1895,True,113000000,850000000,140.0
120,13475,True,150000000,385680446,127.0
121,281338,True,150000000,488533726,140.0
122,1724,False,150000000,163712074,114.0
123,61791,True,93000000,482860185,105.0
124,20526,True,170000000,400062763,125.0
125,124905,True,160000000,529076069,123.0
126,604,True,150000000,738599701,138.0
127,107985,False,20000000,46089287,109.0
128,329,True,63000000,920100000,127.0
129,336843,True,62000000,284881603,144.0
130,14161,False,200000000,769653595,158.0
131,1091,True,15000000,19629760,109.0
132,500664,False,5000000,11871365,100.0
133,101299,True,130000000,847423452,146.0
134,384521,False,10000000,0,102.0
135,299687,False,38000000,109906372,112.0
136,9738,True,100000000,330579719,106.0
137,7453,False,50000000,104478416,109.0
138,68726,True,180000000,407602906,131.0
139,180,False,102000000,358372926,145.0
140,1771,True,140000000,370569774,124.0
141,13455,False,38000000,45465299,111.0
142,1927,False,137000000,245360480,138.0
143,97,True,17000000,33000000,96.0
144,346910,True,88000000,160542134,107.0
